FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Total_Pop,Perc_Pov
34003050000,2565737,81151,34,"Census Tract 500, Bergen County, New Jersey",5820,4.87
34003051100,1557252,40471,34,"Census Tract 511, Bergen County, New Jersey",6284,1.4
34003051200,855753,51189,34,"Census Tract 512, Bergen County, New Jersey",2763,16.23
34003051300,1091572,0,34,"Census Tract 513, Bergen County, New Jersey",4993,4.84
34003051400,3698367,198496,34,"Census Tract 514, Bergen County, New Jersey",4708,1.44
34003052100,3888303,156181,34,"Census Tract 521, Bergen County, New Jersey",7328,3.41
34003052200,3083911,10786,34,"Census Tract 522, Bergen County, New Jersey",7021,6.3
34003053100,12731515,126410,34,"Census Tract 531, Bergen County, New Jersey",3358,3.38
34003053201,7246994,28769,34,"Census Tract 532.01, Bergen County, New Jersey",4844,4.3
34003053202,6357857,22936,34,"Census Tract 532.02, Bergen County, New Jersey",3510,3.74
34003054101,1559286,0,34,"Census Tract 541.01, Bergen County, New Jersey",4803,9.8
34003054102,1477672,39754,34,"Census Tract 541.02, Bergen County, New Jersey",3410,0
34003054200,1395449,0,34,"Census Tract 542, Bergen County, New Jersey",5902,2.02
34003054300,3214289,88581,34,"Census Tract 543, Bergen County, New Jersey",6981,0.76
34003054400,2163889,123557,34,"Census Tract 544, Bergen County, New Jersey",7747,1.09
34003054500,1785541,0,34,"Census Tract 545, Bergen County, New Jersey",4546,0.75
34003054601,1629060,151255,34,"Census Tract 546.01, Bergen County, New Jersey",2804,5.71
34003054602,2419832,106139,34,"Census Tract 546.02, Bergen County, New Jersey",5306,5.03
34003055100,8267043,1485016,34,"Census Tract 551, Bergen County, New Jersey",6790,4.49
34003055201,1853659,0,34,"Census Tract 552.01, Bergen County, New Jersey",4157,1.34
34003055202,1757876,12516,34,"Census Tract 552.02, Bergen County, New Jersey",4305,4.71
34003056100,1860965,0,34,"Census Tract 561, Bergen County, New Jersey",4779,1.96
34003056200,3438856,51165,34,"Census Tract 562, Bergen County, New Jersey",5311,1.54
34003057101,1028489,52547,34,"Census Tract 571.01, Bergen County, New Jersey",4171,10.79
34003057102,1045614,5274,34,"Census Tract 571.02, Bergen County, New Jersey",4100,2.48
34003057200,500533,78206,34,"Census Tract 572, Bergen County, New Jersey",3554,19.89
34003058100,3862911,3564,34,"Census Tract 581, Bergen County, New Jersey",3748,0
34003058200,3786292,125696,34,"Census Tract 582, Bergen County, New Jersey",5528,2.2
34003059100,2973565,54296,34,"Census Tract 591, Bergen County, New Jersey",5124,1.76
34003059200,2876073,50261,34,"Census Tract 592, Bergen County, New Jersey",6097,4.9
34003060001,1219689,1677,34,"Census Tract 600.01, Bergen County, New Jersey",3516,2.5
34003060002,1865532,4437,34,"Census Tract 600.02, Bergen County, New Jersey",6798,8.76
34003061100,4953558,67217,34,"Census Tract 611, Bergen County, New Jersey",4670,1.9
34003061200,3710408,46533,34,"Census Tract 612, Bergen County, New Jersey",3386,0
34003061300,4051686,4466,34,"Census Tract 613, Bergen County, New Jersey",3953,3.45
34003061400,4355118,34874,34,"Census Tract 614, Bergen County, New Jersey",4857,0.42
34005700102,1398482,36337,34,"Census Tract 7001.02, Burlington County, New Jersey",2332,6.23
34005700103,913290,475475,34,"Census Tract 7001.03, Burlington County, New Jersey",2852,0
34005700104,2478052,1281805,34,"Census Tract 7001.04, Burlington County, New Jersey",2263,8.59
34005700200,1714007,783118,34,"Census Tract 7002, Burlington County, New Jersey",2771,1.22
34005700303,8162289,1131787,34,"Census Tract 7003.03, Burlington County, New Jersey",4316,3.61
34005700304,1918848,88835,34,"Census Tract 7003.04, Burlington County, New Jersey",2238,8.13
34005700305,4966681,136650,34,"Census Tract 7003.05, Burlington County, New Jersey",5110,4.01
34005700306,2152005,10108,34,"Census Tract 7003.06, Burlington County, New Jersey",2770,0.83
